content_id,client_id,action_rank,predicted_decline_probability,action_label,reason_code,impressions_90d,content_age_days,avg_position,days_since_last_update,content_type,main_intent
content_9e4b7cc63012,client_7f2253d7e2,104,0.7601,refresh_now,high_visibility,21704,141,35.8,20,keyword article,commercial
content_0d9c0ed65840,client_3fdba35f04,105,0.7599,refresh_now,model_flagged,382,165,0.8,104,keyword article,informational
content_e124b9e2b959,client_3fdba35f04,106,0.7598,refresh_now,model_flagged,1984,165,20.1,104,keyword article,informational
content_c591436529aa,client_7f2253d7e2,107,0.7598,refresh_now,model_flagged,537,169,10.2,20,keyword article,
content_412512ea6fc3,client_3fdba35f04,108,0.7597,refresh_now,model_flagged,766,155,9.3,104,keyword article,informational
content_4ea27cfe1b5a,client_7f2253d7e2,109,0.7597,refresh_now,model_flagged,168,169,13.7,20,keyword article,
content_ac313f093729,client_3fdba35f04,110,0.7596,refresh_now,model_flagged,991,223,15.2,104,keyword article,commercial
content_91fefd1726b3,client_3fdba35f04,111,0.7595,refresh_now,model_flagged,2748,148,18.7,104,keyword article,informational
content_3a378d863880,client_7f2253d7e2,112,0.7594,refresh_now,model_flagged,345,169,5.1,20,keyword article,
content_44c47f990ae1,client_3fdba35f04,113,0.7594,refresh_now,model_flagged,2563,165,16.1,104,keyword article,informational
content_66677b99e328,client_7f2253d7e2,114,0.7594,refresh_now,high_visibility,29616,141,30.1,20,keyword article,informational
content_0daf885ddaa7,client_7f2253d7e2,115,0.7593,refresh_now,model_flagged,363,169,5.1,20,keyword article,
content_d086e01b904b,client_3fdba35f04,116,0.7593,refresh_now,model_flagged,3385,139,5.1,104,keyword article,commercial
content_226862e9e194,client_3fdba35f04,117,0.7593,refresh_now,model_flagged,418,284,18.6,104,keyword article,commercial
content_e6c5f58d3cee,client_7f2253d7e2,118,0.7591,refresh_now,model_flagged,191,169,12.0,20,keyword article,
content_d77e888445e9,client_3fdba35f04,119,0.7591,refresh_now,model_flagged,1225,124,23.6,104,keyword article,informational
content_150f89b1d73b,client_7f2253d7e2,120,0.7591,refresh_now,high_visibility,83490,141,45.0,20,keyword article,commercial
content_3264452ca44a,client_7f2253d7e2,121,0.7591,refresh_now,model_flagged,359,172,23.8,20,keyword article,
content_ee75b851f9e8,client_7f2253d7e2,122,0.759,refresh_now,model_flagged,670,169,13.6,20,keyword article,
content_d9eb4a8986e7,client_3fdba35f04,123,0.759,refresh_now,model_flagged,3382,165,24.5,104,keyword article,informational
content_a5715ca231f0,client_7f2253d7e2,124,0.7589,refresh_now,model_flagged,498,169,28.0,20,keyword article,
content_f3f1b7e363e4,client_7f2253d7e2,125,0.7588,refresh_now,model_flagged,744,169,22.0,20,keyword article,
content_5f5a1733c322,client_3fdba35f04,126,0.7588,refresh_now,model_flagged,261,165,7.6,104,keyword article,informational
content_06378264a47d,client_3fdba35f04,127,0.7588,refresh_now,model_flagged,596,174,5.7,104,keyword article,informational
content_097707cf6a7b,client_7f2253d7e2,128,0.7586,refresh_now,model_flagged,277,172,20.3,20,keyword article,
content_177af7067f14,client_3fdba35f04,129,0.7585,refresh_now,model_flagged,688,165,11.8,104,keyword article,transactional
content_55f2721bcdc2,client_3fdba35f04,130,0.7585,refresh_now,model_flagged,2294,284,35.9,104,keyword article,transactional
content_41eeb6df067f,client_3fdba35f04,131,0.7585,refresh_now,model_flagged,998,165,3.1,104,keyword article,informational
content_5b334c933fd1,client_7f2253d7e2,132,0.7584,refresh_now,model_flagged,967,169,17.6,20,keyword article,
content_bb6ebb5ec8c8,client_3fdba35f04,133,0.7584,refresh_now,model_flagged,2621,144,12.8,104,keyword article,informational
content_753facf16050,client_7f2253d7e2,134,0.7584,refresh_now,model_flagged,340,172,18.4,20,keyword article,
content_8db4c406edc0,client_3fdba35f04,135,0.7584,refresh_now,model_flagged,3424,131,5.3,104,keyword article,commercial
content_d840a3a6302b,client_3fdba35f04,136,0.7583,refresh_now,model_flagged,704,144,28.7,104,keyword article,informational
content_e88c269d36d5,client_3fdba35f04,137,0.7582,refresh_now,model_flagged,2099,144,12.4,104,keyword article,informational
content_3aa0d634a04f,client_3fdba35f04,138,0.7581,refresh_now,model_flagged,380,155,4.0,104,keyword article,informational
content_86444e331502,client_3fdba35f04,139,0.7581,refresh_now,model_flagged,462,310,24.7,104,keyword article,transactional
content_e1039a455c32,client_7f2253d7e2,140,0.7581,refresh_now,high_visibility,24758,141,19.6,20,keyword article,informational
content_90509007b432,client_6208ef0f77,141,0.7581,refresh_now,model_flagged,1062,229,21.4,104,keyword article,
content_2fcd75499332,client_7f2253d7e2,142,0.758,refresh_now,model_flagged,820,169,18.3,20,keyword article,
content_09100d409cfc,client_7f2253d7e2,143,0.7578,refresh_now,high_visibility,48746,147,40.0,20,keyword article,commercial
content_23633ac0f5ae,client_3fdba35f04,144,0.7578,refresh_now,model_flagged,544,165,20.0,104,keyword article,informational
content_b63d4f43a84b,client_7f2253d7e2,145,0.7577,refresh_now,model_flagged,355,169,9.9,20,keyword article,
content_bd6fe8d9dc9f,client_3fdba35f04,146,0.7577,refresh_now,model_flagged,3263,139,6.4,104,keyword article,transactional
content_558fd4b27659,client_3fdba35f04,147,0.7575,refresh_now,model_flagged,2559,144,20.2,104,keyword article,informational
content_9734389e166a,client_3fdba35f04,148,0.7575,refresh_now,model_flagged,886,309,26.9,104,keyword article,informational
content_9cddb79b32a7,client_3fdba35f04,149,0.7574,refresh_now,model_flagged,2235,124,24.8,104,keyword article,transactional
content_75b020e94834,client_7f2253d7e2,150,0.7574,refresh_now,model_flagged,1539,169,19.1,20,keyword article,
content_4de400868b63,client_3fdba35f04,151,0.7573,refresh_now,model_flagged,529,155,30.1,104,keyword article,informational
content_9d4e9f7b6e58,client_3fdba35f04,152,0.7572,refresh_now,model_flagged,273,263,5.4,104,keyword article,transactional
content_d8231d0777d3,client_7f2253d7e2,153,0.7569,refresh_now,model_flagged,415,169,17.1,20,keyword article,
content_e04eb9549989,client_3fdba35f04,154,0.7569,refresh_now,model_flagged,3393,131,3.6,104,keyword article,informational
content_aeff85e1f8ca,client_7f2253d7e2,155,0.7569,refresh_now,model_flagged,384,169,14.8,20,keyword article,
content_1e72ec381b2c,client_7f2253d7e2,156,0.7568,refresh_now,high_visibility,14622,141,27.6,20,keyword article,informational
content_d3b6b4aae679,client_3fdba35f04,157,0.7567,refresh_now,model_flagged,697,155,28.1,104,keyword article,informational
content_0543ff5f46c6,client_3fdba35f04,158,0.7567,refresh_now,model_flagged,486,309,4.0,104,keyword article,transactional
content_787b9931e4e2,client_7f2253d7e2,159,0.7567,refresh_now,model_flagged,840,169,17.0,20,keyword article,
content_72f285aa5a47,client_3fdba35f04,160,0.7566,refresh_now,model_flagged,168,309,4.4,104,keyword article,informational
content_e67f153224ea,client_7f2253d7e2,161,0.7566,refresh_now,model_flagged,559,169,19.1,20,keyword article,
content_56247ba27607,client_624b60c58c,162,0.7564,refresh_now,model_flagged,107,98,6.3,8,feedly article,
content_afe4e344ca62,client_3fdba35f04,163,0.7564,refresh_now,model_flagged,1369,223,39.8,104,keyword article,commercial
content_b398e033e752,client_3fdba35f04,164,0.7564,refresh_now,model_flagged,362,148,34.9,104,keyword article,informational
content_30e28ce98183,client_3fdba35f04,165,0.7563,refresh_now,model_flagged,480,284,17.6,104,keyword article,commercial
content_50859b364bea,client_3fdba35f04,166,0.7562,refresh_now,model_flagged,780,155,35.5,104,keyword article,informational
content_7760048e1609,client_6208ef0f77,167,0.7561,refresh_now,high_visibility,4520,229,32.7,104,keyword article,
content_21c32d354846,client_3fdba35f04,168,0.7561,refresh_now,model_flagged,1244,155,31.5,104,keyword article,informational
content_ba6f9dfcbca1,client_3fdba35f04,169,0.756,refresh_now,high_visibility,4366,124,20.1,104,keyword article,transactional
content_b893db8d7619,client_3fdba35f04,170,0.7559,refresh_now,model_flagged,818,124,4.5,104,keyword article,transactional
content_c4e9a1686a5d,client_3fdba35f04,171,0.7559,refresh_now,model_flagged,501,165,16.7,104,keyword article,informational
content_b5286cb71075,client_3fdba35f04,172,0.7559,refresh_now,model_flagged,198,165,21.8,104,keyword article,transactional
content_46c1b521c941,client_3fdba35f04,173,0.7557,refresh_now,high_visibility,4621,124,35.2,104,keyword article,informational
